source_row_id,matched_standardizedItemId,confidence,decision,reason
870,KVI-HARD-0015,0.9211,match,"The competitor product 'Ziploc Storage Bag Gallon 15pcs' exactly matches the master list entry with the same brand 'Ziploc', model 'Storage', pack size of 15pcs, and units. The comparison is confirmed with a high similarity score."
214,KVI-HARD-0030,0.963,match,"The competitor product 'Clorox Disinfecting Wipes 75pcs' matches the master list item 'Clorox Disinfecting Wipes 75pcs' in terms of brand (Clorox), model (Original), quantity (75pcs), and units (pcs). Thus, this confirms a match."
1720,KVI-HARD-0010,0.8946,match,"The competitor product '3M Microfibr Cloth Yellow 2pcs' matches the master KVI entry '3M Microfiber Cloth Yellow 2pcs' exactly in brand, model, pack size, and unit. The only difference is a typo in the description; 'Microfibr' is likely a misspelling of 'Microfiber'. Thus, they are considered a match."
1934,,0.0,no_match,"The competitor product 'Plastic flower pot 6 inch' does not match any items in the master KVI candidates, which include watering cans and a sponge. None of the attributes such as product type, brand, and size correspond."
1433,KVI-FMCG-0093,0.97,match,"The competitor product matches exactly with the master list entry: both have the brand 'Colgate', model 'Total', size '100g', and unit 'g'."
692,KVI-HARD-0014,0.9384,match,"The competitor item 'Glad Trash Bag Black 30 Gallon 30pcs' matches the master item 'Glad Trash Bag Black 30 Gallon 30pcs' in terms of brand (Glad), model (Strong), size (30 Gallon), quantity (30pcs), and unit (pcs). All identifiers are identical."
1368,KVI-FMCG-0010,0.9,match,"The competitor product entry 'Sprite Lemon-Lime 325.' is an exact match for the master list item with a standardized item ID 'KVI-FMCG-0010'. Both the brand 'Sprite', model 'Classic', and size '325ml' are consistent and match exactly, confirming a true match."
1847,,0.0,no_match,"The competitor product 'Yoga mat 6mm thick blue' does not match any available master KVI candidates. No brand, model, or product type align with those in the master list."
1913,,0.0,no_match,"The competitor product is a plastic flower pot 6 inch, which has no matching brand, model, or category with any of the KVI master list candidates. All candidates are watering cans or dish sponges, indicating a different product type."
1612,KVI-FMCG-0023,0.9406,match,"The competitor product 'Heineken Lager 620ML' matches the master product 'Heineken Lager 620ml' in brand ('Heineken'), model ('Original'), size (620ml), and unit (ml). Therefore, it is considered a match."
1987,,0.0,no_match,"The competitor product 'Random unbranded keychain 5pcs' does not match any items from the master KVI candidates due to differences in brand identifiers, product name, and incompatible category (keychain vs. electronic products)."
1385,KVI-FMCG-0031,0.9479,match,"The competitor product 'Sprinkle Drinking Water 330ML' exactly matches the master product 'Sprinkle Drinking Water 330ml' in brand ('Sprinkle'), model ('Water'), size (330 ml), and units (ml). The only difference is the capitalization of 'ml', which does not affect the match."
